gid,year,pop_gpw_sum
"73665","2010","49958.8"
"73666","2010","51272.234"
"73667","2010","37104.45"
"73668","2010","2496.078"
"73669","2010","2011.8237"
"73670","2010","1321.5707"
"73671","2010","881.7292"
"73672","2010","859.00616"
"73673","2010","597.35504"
"73674","2010","5184.314"
"73675","2010","19107.738"
"73676","2010","177700.4"
"73677","2010","108354.65"
"73678","2010","15503.151"
"73679","2010","8268.968"
"73680","2010","18827.602"
"73681","2010","11336.892"
"73682","2010","16724.145"
"73683","2010","8486.455"
"73684","2010","77.48082"
"74086","2010","1603.0756"
"74087","2010","4257.2603"
"74088","2010","3167.1843"
"74089","2010","4.140341"
"74090","2010","1.5052156"
"74091","2010","3632.9443"
"74092","2010","15430.964"
"74093","2010","8651.199"
"74094","2010","3188.8838"
"74095","2010","20.532068"
"74149","2010","950.4433"
"74150","2010","2183.2996"
"74151","2010","5930.65"
"74152","2010","10940.315"
"74153","2010","21226.201"
"74154","2010","1534.7391"
"74155","2010","1600.6863"
"74156","2010","12193.211"
"74157","2010","24069.97"
"74373","2010","1074.2444"
"74374","2010","26704.451"
"74375","2010","37398.027"
"74376","2010","62569.637"
"74377","2010","39794.242"
"74378","2010","10436.817"
"74379","2010","3410.0852"
"74380","2010","3357.4485"
"74381","2010","3030.6558"
"74382","2010","2497.4841"
"74383","2010","19382.926"
"74384","2010","26544.54"
"74385","2010","40082.754"
"74386","2010","22666.895"
"74387","2010","1937.8705"
"74388","2010","157.20772"
"74389","2010","144.02435"
"74390","2010","103.505745"
"74391","2010","148.14075"
"74392","2010","1974.3439"
"74393","2010","1992.2002"
"74394","2010","5093.7827"
"74395","2010","6980.989"
"74396","2010","63645.137"
"74397","2010","25673.422"
"74398","2010","10309.505"
"74399","2010","14014.376"
"74400","2010","19550.412"
"74401","2010","10289.911"
"74402","2010","38590.37"
"74403","2010","18330.676"
"74404","2010","31916.883"
"74405","2010","250181.94"
"74802","2010","576.28735"
"74803","2010","2265.4043"
"74804","2010","15684.405"
"74805","2010","22058.033"
"74806","2010","26371.85"
"74807","2010","10290.421"
"74808","2010","23611.203"
"74809","2010","197344.67"
"74810","2010","64923.387"
"74811","2010","489272.3"
"74812","2010","51252.453"
"74813","2010","68688.305"
"74814","2010","30180.479"
"74815","2010","21688.326"
"74816","2010","2104.6106"
"74870","2010","2278.1875"
"74871","2010","27870.96"
"74872","2010","19776.154"
"74873","2010","57096.68"
"74874","2010","22680.816"
"74875","2010","9785.961"
"74876","2010","2663.7292"
"74877","2010","2656.76"
"75093","2010","21541.469"
"75094","2010","78984.96"
"75095","2010","75553.664"
"75096","2010","41329.336"
"75097","2010","18003.56"
"75098","2010","10894.222"
"75099","2010","2458.7178"
"75100","2010","3075.4902"
"75101","2010","4228.219"
"75102","2010","4172.584"
"75103","2010","4197.8364"
"75104","2010","22681.77"
"75105","2010","18144.49"
"75106","2010","1376.6437"
"75107","2010","141.1949"
"75108","2010","139.28099"
"75109","2010","1185.5571"
"75110","2010","1346.5513"
"75111","2010","1422.017"
"75112","2010","3769.8818"
"75113","2010","4831.7725"
"75114","2010","5821.045"
"75115","2010","10080.91"
"75116","2010","14601.472"
"75117","2010","15299.117"
"75118","2010","8698.572"
"75119","2010","7782.696"
"75120","2010","8161.323"
"75121","2010","10563.89"
"75122","2010","39302.723"
"75123","2010","20221.021"
"75124","2010","33549.445"
"75125","2010","378513"
"75126","2010","9925.443"
"75521","2010","6335.7017"
"75522","2010","34173.938"
"75523","2010","4376.5195"
"75524","2010","5517.2886"
"75525","2010","13382.212"
"75526","2010","5629.334"
"75527","2010","8889.64"
"75528","2010","92699.375"
"75529","2010","26254.705"
"75530","2010","1187322.5"
"75531","2010","1955278.2"
"75532","2010","48324.945"
"75533","2010","9770.954"
"75534","2010","7788.868"
"75535","2010","5151.699"
"75536","2010","27169.936"
"75537","2010","1525.8019"
"75538","2010","1141.3738"
"75539","2010","1080.5605"
"75540","2010","443.66537"
"75590","2010","6916.89"
"75591","2010","182602.81"
"75592","2010","38157.37"
"75593","2010","141620.22"
"75594","2010","13156.921"
"75595","2010","10439.107"
"75596","2010","1706.8141"
"75597","2010","2520.3074"
"75598","2010","37.065872"
"75813","2010","18770.875"
"75814","2010","107986.375"
"75815","2010","120335.086"
"75816","2010","194575.94"
"75817","2010","44474.19"
"75818","2010","12968.658"
"75819","2010","3145.1714"
"75820","2010","8297.184"
"75821","2010","5421.4624"
"75822","2010","4291.403"
"75823","2010","2359.7397"
"75824","2010","1625.1306"
"75825","2010","1695.9077"
"75826","2010","1294.0845"
"75827","2010","95.843544"
"75828","2010","101.54346"
"75829","2010","2951.2297"
"75830","2010","3138.5095"
"75831","2010","3138.5095"
"75832","2010","4491.235"
"75833","2010","7185.94"
"75834","2010","6468.582"
"75835","2010","6318.267"
"75836","2010","11276.539"
"75837","2010","12288.87"
"75838","2010","9500.529"
"75839","2010","17014.398"
"75840","2010","22123.863"
"75841","2010","27532.045"
"75842","2010","56820.793"
"75843","2010","26261.357"
"75844","2010","9174.548"
"75845","2010","13866.234"
"75846","2010","37358.76"
"75847","2010","49207.613"
"76240","2010","1024.0771"
"76241","2010","2716.383"
"76242","2010","3800.9507"
"76243","2010","2112.6567"
"76244","2010","3262.875"
"76245","2010","4317.9688"
"76246","2010","8292.315"
"76247","2010","6611.2676"
"76248","2010","31243.129"
"76249","2010","35351.668"
"76250","2010","39481.92"
"76251","2010","23150.504"
"76252","2010","8316.728"
"76253","2010","6977.084"
"76254","2010","7923.745"
"76255","2010","6722.5327"
"76256","2010","1537.1039"
"76257","2010","1939.2904"
"76258","2010","1953.5842"
"76259","2010","3496.4868"
"76260","2010","10167.147"
"76261","2010","111.880035"
"76309","2010","1191.0304"
"76310","2010","161761.05"
"76311","2010","28020.11"
"76312","2010","38081.93"
"76313","2010","4342.9536"
"76534","2010","490059.84"
